犬;いぬ;Hund;;
猫;ねこ;Katze;;
動物;どうぶつ;Tier;;
爆弾;ばくだん;Bombe;;
愛;あい;Liebe;;
料理;りょうり;Gericht (Essen);;
雷;かみなり;Gewitter;;
遠.;とおい;weit;遠い;
洪水;こうずい;Flut;;
学校;がっこう;Schule;;
消防士;しょうぼうし;Feuerwehrmann;;
停電;ていでん;Stromausfall;;
消防署;しょうぼうしょ;Feuerwache;;
県;けん;Präfektur;;
政府;せいふ;Regierung;;
建物;たてもの;Gebäude;;
突然;とつぜん;Plötzlich;;
不安;ふあん;Unbehagen;;
明..;あかり;Lichter;明かり;
顔;かお;Gesicht;;
時間;じかん;Zeit;;
嵐;あらし;Sturm;;
風;かぜ;Wind;;
息子;むすこ;Sohn;;
事故;じこ;Unfall;;
話.;はなす;Sprechen;話す;
自転車;じてんしゃ;Fahrrad;;
知.;しる;Wissen;知る;
運転;うんてん;Betrieb (Fahrzeug);;
残.;のこす;zurücklassen;残す;
財布;さいふ;Brieftasche;;
消防車;しょうぼうしゃ;Feuerwehrauto;;
地域;ちいき;Bereich;;
家族;かぞく;Familie;;
椅子;いす;Stuhl;;
自分;じぶん;selbst;;
言葉;ことば;Wort;;
戦争;せんそう;Krieg;;
痛.;いたい;wehtun;痛い;
仕事;しごと;Job;;
生活;せいかつ;Leben;;
静.;しずか;Stille;静か;
台風;たいふう;Typhoon;;
後;ご;später;;
夜;よる;Nacht;;
変化;へんか;ändern;;
枝;えだ;Ast;;
地方;ちほう;Region;;
場合;ばあい;Fall;;
自然;しぜん;Natur;;
津波;つなみ;Tsunami;;
災害;さいがい;Disaster;;
周.;まわり;Umkreis;周り;
太陽;たいよう;Sonne;;
値引.;ねびき;Rabatt;値引き;
塩;しお;Salz;;
飲.;のむ;Trinken;飲む;
学生;がくせい;Schüler;;
地球;ちきゅう;Erde (Planet);;
外国;がいこく;Ausland;;
機会;きかい;Gelegenheit;;
頼.;たのみ;Fragen;頼み;
公園;こうえん;Park;;
旅行;りょこう;Reise;;
際;さい;Zeitpunkt;;
恋;こい;Liebe;;
逮捕;たいほ;Festnahme;;
必要;ひつよう;brauen;;
医者;いしゃ;Arzt;;
禁止;きんし;Verbot;;
場所;ばしょ;Platz;;
宿題;しゅくだい;Hausaufgaben;;
午後;ごご;Nachmittags;;
午前;ごぜん;Vormittags;;
火事;かじ;Feuer;;
家事;かじ;Hausarbeit;;
掃除;そうじ;Reinigung;;
決..;けして;niemals;けして;
先生;せんせい;Lehrer;;
真面目;まじめ;Ernst;;
到着;とうちゃく;Ankunft;;
降.;ふる;Niederschlag;降る;
責任;せきにん;Verantwortung;;
風呂;ふろ;Badewanne;;
部屋;へや;Raum;;
孫息子;まごむすこ;Enkel;;
孫娘;まごむすめ;Enkelin;;
孫..;まごさん;Enkelkind;孫さん;
忙..;いそがしい;beschäftigt;忙しい;
明日;あした;morgen;;
明後日;あさって;übermorgen;;
手紙;てがみ;Brief;;
速.;はやい;schnell;速い;
近.;ちかい;nah;近い;
遅.;おそい;langsam;遅い;
赤;あか;Rot;;
青;あお;Blau (Grün);;
黄色;きいろ;Gelb;;
黒;くろ;Schwarz;;
茶色;ちゃいろ;Braun;;
一緒;いっしょ;zusammen;;
悪.;わるい;schlecht;悪い;
